,Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Notes,Date,Time
0,0.02823727569052692,7511,0.9872981884297962,2504,8.172374335924784:00,"data standardization + classifier (1280,256,1)",18/05/2022,09:10 AM
0,0.024603899229069047,7511,1.276452224601647,2504,8.163002753257752:00,"data standardization + classifier (1280,256,1)",18/05/2022,09:18 AM
0,0.02410783206473886,7511,0.815849835627492,2504,8.159560664494832:00,"data standardization + classifier (1280,256,1)",18/05/2022,09:26 AM
0,0.022802050339532257,7511,1.1146769460173056,2504,8.159705674648285:00,"data standardization + classifier (1280,256,1)",18/05/2022,09:35 AM
0,0.022399091519242558,7511,0.9924018873203543,2504,8.163051215807597:00,"data standardization + classifier (1280,256,1)",18/05/2022,09:43 AM
0,0.023579260599654834,7511,0.7542829875327646,2504,8.16592441399892:00,"data standardization + classifier (1280,256,1)",18/05/2022,09:51 AM
0,0.023134012022674604,7511,0.86042493862364,2504,8.160242871443431:00,"data standardization + classifier (1280,256,1)",18/05/2022,09:59 AM
0,0.026093758720691616,7511,0.7314685042624169,2504,8.178104503949482:00,"data standardization + classifier (1280,256,1)",18/05/2022,10:07 AM
0,0.022994899579765696,7511,0.93922308677115,2504,8.160437579949697:00,"data standardization + classifier (1280,256,1)",18/05/2022,10:15 AM
0,0.02336097314706509,7511,0.7941742786617589,2504,8.153814880053202:00,"data standardization + classifier (1280,256,1)",18/05/2022,10:24 AM
0,0.021250962516113383,7511,0.9187350072273652,2504,8.168294926484426:00,"data standardization + classifier (1280,256,1)",18/05/2022,10:32 AM
0,0.013003895592030168,7511,1.0689159597394005,2504,8.154101594289143:00,"data standardization + classifier (1280,256,1)",18/05/2022,10:40 AM
0,0.02591246608752424,7511,0.8308363292205109,2504,8.167342257499694:00,"data standardization + classifier (1280,256,1)",18/05/2022,10:48 AM
0,0.021862532331464273,7511,1.0247035017079924,2504,8.15167205731074:00,"data standardization + classifier (1280,256,1)",18/05/2022,10:56 AM
0,0.017772736356661836,7511,1.2236530372340304,2504,8.165776904424032:00,"data standardization + classifier (1280,256,1)",18/05/2022,11:04 AM
0,0.016867938192160262,7511,1.182268981147931,2504,8.169821234544118:00,"data standardization + classifier (1280,256,1)",18/05/2022,11:13 AM
0,0.02307999202996296,7511,1.0127455171851836,2504,8.465133567651113:00,"data standardization + classifier (1280,256,1)",18/05/2022,11:21 AM
0,0.34158934602830066,7335,0.3126495683944514,2446,26.40684931278229:00,"data standardization + classifier (1280,256,1)",20/05/2022,12:11 PM
0,0.3186721868528626,7335,0.36574001376992726,2446,26.39918420314789:00,"data standardization + classifier (1280,256,1)",20/05/2022,12:37 PM
0,0.3118730764615146,7335,0.2767083113937877,2446,26.388941593964894:00,"data standardization + classifier (1280,256,1)",20/05/2022,01:03 PM
